name,cuisine,servings,prep_time,cook_time,total_time,family,ingredients_str,steps_str,ingredient_set
Adobong Manok,Filipino,4-6,15 mins,45 mins,60 mins,adobo,"Chicken: 1 kg;Garlic: 8 cloves;Onions: 1 large;Salt: 1 tsp;Pepper: 1 tsp","1. Marinate chicken with garlic, salt, and pepper for 15 minutes.;2. Sauté onions until translucent.;3. Add chicken and brown on all sides.;4. Add water and simmer for 30 minutes until tender.;5. Reduce sauce until thick.;6. Serve hot with rice.","['pepper', 'salt', 'chicken', 'onion', 'garlic']"
Sinigang na Baboy,Filipino,6,20 mins,60 mins,80 mins,sinigang,"Pork: 1 kg;Tomato: 2 large;Onions: 1 large;WaterSpinach: 1 bundle;Okra: 10 pieces;Eggplant: 2;SilingLabuyo: 3 pieces;FishSauce: 2 tbsp","1. Boil pork in water for 10 minutes, skim scum.;2. Add tomatoes and onions, simmer for 40 minutes.;3. Season with fish sauce.;4. Add okra and eggplant, cook 7 minutes.;5. Add water spinach and chilies, cook 2 minutes.;6. Serve hot.","['eggplant', 'water', 'onion', 'pork', 'fish', 'chili', 'okra', 'tomato']"
Bicol Express,Bicolano,4-6,20 mins,30 mins,50 mins,bicol_express,"Pork: 500g;CoconutMilk: 2 cups;SilingLabuyo: 15 pieces;Garlic: 5 cloves;Onions: 1;Ginger: 1 thumb;Shrimp: 1/2 cup","1. Sauté garlic, onions, and ginger.;2. Add pork and brown.;3. Pour coconut milk and simmer 20 minutes.;4. Add shrimp and chilies, cook 7 minutes.;5. Reduce until thick and oily.;6. Serve with rice.","['shrimp', 'onion', 'ginger', 'pork', 'coconut_milk', 'garlic', 'chili']"
Pinakbet,Ilocano,4-6,20 mins,25 mins,45 mins,pinakbet,"Pork: 250g;Eggplant: 2;Okra: 10 pieces;BitterMelon: 1;Pumpkin: 2 cups;Tomato: 1;Garlic: 4 cloves;Onions: 1;Ginger: 1 thumb","1. Sauté garlic, onion, ginger, and tomato.;2. Add pork and cook until done.;3. Layer pumpkin and bitter melon with water, simmer 5 minutes.;4. Add eggplant and okra, simmer 10 minutes.;5. Mix gently.;6. Serve hot.","['eggplant', 'onion', 'ginger', 'pork', 'garlic', 'okra', 'tomato', 'pumpkin']"
Laing,Bicolano,4-6,15 mins,45 mins,60 mins,laing,"TaroLeaves: 2 cups;Pork: 200g;CoconutMilk: 4 cups;SilingLabuyo: 10 pieces;Garlic: 5 cloves;Onions: 1;Ginger: 1 thumb","1. Sauté garlic, onion, and ginger.;2. Add pork and brown.;3. Pour 2 cups coconut milk and boil.;4. Add taro leaves and chilies, DO NOT STIR, simmer 20 minutes.;5. Stir and add remaining coconut milk, simmer 20 minutes.;6. Serve hot.","['onion', 'ginger', 'pork', 'coconut_milk', 'garlic', 'chili', 'taro']"
Tinolang Manok,Filipino,4-6,15 mins,40 mins,55 mins,tinola,"Chicken: 1 kg;Ginger: 1 thumb;Garlic: 4 cloves;Onions: 1;Papaya: 2 cups;Pechay: 1 bundle;FishSauce: 3 tbsp;Pepper: 1 tsp","1. Sauté ginger, garlic, and onion.;2. Add chicken and cook until color changes.;3. Add water and fish sauce, boil then simmer 25 minutes.;4. Add papaya and cook 7 minutes.;5. Add pechay and pepper, cook 2 minutes.;6. Serve hot.","['pepper', 'chicken', 'onion', 'ginger', 'fish', 'garlic', 'pechay', 'papaya']"
Ginataang Manok,Filipino,4-6,15 mins,40 mins,55 mins,ginataan,"Chicken: 1 kg;CoconutMilk: 2 cups;Garlic: 5 cloves;Onions: 1;Ginger: 1 thumb;FishSauce: 2 tbsp;Pechay: 1 bundle;SilingLabuyo: 4 pieces;Papaya: 1 cup","1. Sauté garlic, onion, and ginger.;2. Brown chicken pieces.;3. Pour coconut milk, add fish sauce, simmer 25 minutes.;4. Add papaya, cook 5 minutes.;5. Add pechay and chilies, cook 2 minutes.;6. Serve hot.","['chicken', 'onion', 'ginger', 'coconut_milk', 'fish', 'garlic', 'chili', 'pechay', 'papaya']"
Ginataang Hipon,Filipino,4,10 mins,15 mins,25 mins,ginataan,"Shrimp: 500g;CoconutMilk: 2 cups;Eggplant: 1;Garlic: 4 cloves;Onions: 1;Ginger: 1 thumb;SilingLabuyo: 5 pieces;FishSauce: 2 tbsp;Tanglad: 2 stalks","1. Sauté garlic, onion, and ginger.;2. Add shrimp and cook until pink.;3. Pour coconut milk, add tanglad, simmer 5 minutes.;4. Add eggplant, simmer 5 minutes.;5. Add fish sauce and chilies, cook 2 minutes.;6. Remove tanglad and serve.","['eggplant', 'shrimp', 'lemongrass', 'onion', 'ginger', 'coconut_milk', 'fish', 'garlic', 'chili']"
Adobong Pusit,Filipino,4,10 mins,20 mins,30 mins,adobo,"Squid: 1 kg;Garlic: 6 cloves;Onions: 1;Pepper: 1 tsp","1. Sauté garlic and onion.;2. Add squid and cook 2 minutes.;3. Add water and pepper, DO NOT STIR for 2 minutes.;4. Simmer 15 minutes until tender.;5. Reduce sauce if needed.;6. Serve hot.","['pepper', 'garlic', 'onion', 'squid']"
Sinigang na Hipon,Filipino,4,15 mins,20 mins,35 mins,sinigang,"Shrimp: 500g;Tomato: 2;Onions: 1;FishSauce: 2 tbsp;WaterSpinach: 1 bundle;Okra: 10 pieces;Eggplant: 1;SilingLabuyo: 2 pieces","1. Boil water, add tomato and onion.;2. Add okra and eggplant, cook 5 minutes.;3. Season with fish sauce.;4. Add shrimp, cook 4 minutes until pink.;5. Add water spinach and chilies, cook 1 minute.;6. Serve hot.","['eggplant', 'shrimp', 'water', 'onion', 'fish', 'chili', 'okra', 'tomato']"
